"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Hex.java", "Java", 0, 38, 1, 11, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\HuntersMark.java", "Java", 0, 35, 2, 10, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\IceKnife.java", "Java", 0, 44, 1, 14, 59
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Identify.java", "Java", 0, 31, 2, 10, 43
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\InflictWounds.java", "Java", 0, 37, 1, 11, 49
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Jump.java", "Java", 0, 28, 2, 10, 40
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Longstrider.java", "Java", 0, 34, 2, 11, 47
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\MageArmor.java", "Java", 0, 32, 5, 13, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\MagicMissile.java", "Java", 0, 37, 2, 11, 50
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ProtectionFromEvilAndGood.java", "Java", 0, 32, 2, 10, 44
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\RayOfSickness.java", "Java", 0, 37, 4, 11, 52
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Sanctuary.java", "Java", 0, 32, 2, 10, 44
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\SearingSmite.java", "Java", 0, 38, 3, 10, 51
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\Shield.java", "Java", 0, 28, 2, 9, 39
"c:\Users\almcg\Projects\rogue_dungeons_repo\rogue_dungeons\src\main\java\alan\spells\level_one\ShieldOfFaith.java", "Java", 0, 30, 2, 11, 43
